Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Disruption description,Additional disruption times (UTC)
2024-05-10 23:20:00+00:00,-1.4,48.1,Problem with geolocalisation (GPS) services,
2024-05-10 19:00:00+00:00,-99.1,50.4,Problem with geolocalisation (GPS) services,2024-05-10 23:00:00+00:00
2024-05-11 12:00:00+00:00,21.6,62.2,Problem with geolocalisation (GPS) services,
2024-05-10 21:30:00+00:00,6.9,52.2,Problem with geolocalisation (GPS) services,
2024-05-10 19:30:00+00:00,4.6,52.5,DAB car radio fall-outs,
1900-01-01 00:00:00+00:00,15.4,78.1,,
2024-05-10 23:10:00+00:00,5.0,52.1,Unstable power (flickering light...),
2024-05-10 22:45:00+00:00,5.0,52.8,unstable wifi,
2024-05-10 21:30:00+00:00,4.6,52.6,Seeing the aurora,
2024-05-10 18:00:00+00:00,6.7,52.9,"Problem with geolocalisation (GPS) services",
2024-05-10 23:43:00+00:00,6.6,52.6,Problem with geolocalisation (GPS) services,
2024-05-10 18:00:00+00:00,4.7,51.9,Bad phone signal,
2024-05-10 22:50:00+00:00,29.1,63.5,Problem with geolocalisation (GPS) services,
2024-05-12 02:00:00+00:00,-111.0,41.5,Problem with geolocalisation (GPS) services,
2024-05-10 22:10:00+00:00,23.8,61.4,Problem with geolocalisation (GPS) services,
2024-05-11 06:00:00+00:00,-116.4,34.1,"Problem with geolocalisation (GPS) services, Cell data connection was unstable ",
2024-05-11 02:55:00+00:00,-83.7,44.0,"Problem with geolocalisation (GPS) services, Power cut, Cell service/ internet access",
2024-05-10 20:00:00+00:00,11.0,49.4,"Power cut, Unstable power (flickering light...)",
2024-05-12 05:30:00+00:00,-86.4,44.0,Problem with geolocalisation (GPS) services,
2024-05-11 11:40:00+00:00,174.7,-36.8,Problem with geolocalisation (GPS) services,
2024-05-10 23:30:00+00:00,-107.1,24.8,Power cut,
2024-05-11 04:00:00+00:00,-84.2,39.6,Problem with geolocalisation (GPS) services,
2024-05-11 11:30:00+00:00,-82.5,43.1,"Power cut, Unstable power (flickering light...)",
2024-05-10 23:30:00+00:00,-83.6,42.8,DSL dropped,
2024-05-11 04:00:00+00:00,-95.4,30.0,Problem with geolocalisation (GPS) services,
2024-05-11 02:30:00+00:00,,,Reduced wifi signal. ,
2024-05-10 23:50:00+00:00,-1.2,54.6,Camera operating erratically.,
2024-05-09 22:00:00+00:00,24.8,60.2,"Problem with geolocalisation (GPS) services, Issues with internet/WiFi signals",
2024-05-11 13:00:00+00:00,170.8,-45.1,"Problem with geolocalisation (GPS) services, Camera on phone and DSLR were jamming. Ringing noise heard",
2024-05-10 23:15:00+00:00,-1.4,46.2,5G service down,
2024-05-10 09:30:00+00:00,147.8,-43.2,"Problem with geolocalisation (GPS) services, Phone reception on 4G network","2024-05-10 13:30:00+00:00,2024-05-10 15:10:00+00:00"
2024-05-11 13:00:00+00:00,147.3,-42.9, ,
2024-05-10 19:00:00+00:00,3.6,51.5,Problem with geolocalisation (GPS) services,
2024-05-10 16:00:00+00:00,17.6,59.9,Unstable power (flickering light...),
2024-05-10 22:20:00+00:00,3.3,42.3,Problem with geolocalisation (GPS) services,
2024-05-11 01:00:00+00:00,-111.7,53.7,"Power cut, Internet problems too",
2024-05-10 22:00:00+00:00,-114.2,46.4,Problem with geolocalisation (GPS) services,
2024-05-11 23:00:00+00:00,-113.7,53.4,Tv went out ,
2024-05-10 18:00:00+00:00,-97.2,49.9,Unstable power (flickering light...),
2024-05-12 02:00:00+00:00,-89.9,46.0,Unstable power (flickering light...),
2024-05-11 01:00:00+00:00,-1.1,49.0,Unstable power (flickering light...),
2024-05-10 06:00:00+00:00,-112.5,49.5,"Problem with geolocalisation (GPS) services, Unstable power (flickering light...)",
